Mcbar-16	Mcbar-16_S1
MCbar-791-3	Mcbar-791_S18
Mcbar-791-4	Mcbar-791xx_S9
MCbar-831	MCbar-831_S27
MCbar-865	MCbar-865_S33
MCbar-867	MCbar-867_S39
Mcbar-867-2	Mcbar-867x_S11
MCbar-884	MCbar-884_S45
MCbar-894	MCbar-894_S4
MCbar-899	MCbar-899_S10
MCbar-934	MCbar-934_S16
MCbar-984	MCbar-984_S22
Mcbar-984-2	Mcbar-984x_S14
Mcbar-1011	MCbar-1011_S29
Mcbar-1011-3	Mcbar-1011-3_S16
MCbar-1021	MCbar-1021_S28
Mcbar-1028	Mcbar-1028x_S10
MCbar-1029	MCbar-1029_S40
MCbar-1032	MCbar-1032_S46
MCbar-1035	MCbar-1035_S5
MCbar-1081	MCbar-1081_S11
MCbar-1084	MCbar-1084_S17
MCbar-1094	MCbar-1094_S23
MCbar-1105	MCbar-1105_S35
MCbar-1155	MCbar-1155_S41
MCbar-1160	MCbar-1160_S47
Mcbar-1167-4	Mcbar-1167x_S13
MCbar-1169	MCbar-1169_S6
Mcbar-1169-2	McBar-1169-2_S9
MCbar-1170	MCbar-1170_S12
MCbar-1183	MCbar-1183_S18
MCbar-1201	MCbar-1201_S24
MCbar-1212	MCbar-1212_S30
MCbar-1226	MCbar-1226_S36
MCbar-1234	MCbar-1234_S42
MCbar-1244	MCbar-1244_S48
Mcbar-1297	Mcbar-1297_S17
Mcbar-1299	Mcbar-1299_S12
Mcbar-1301	Mcbar-1301_S22
Mcbar-1304	Mcbar-1304_S27
Mcbar-1304-2	Mcbar1304-2_S16
Mcbar-1307	Mcbar-1307_S32
Mcbar-1310	Mcbar-1310_S37
Mcbar-1314	Mcbar-1314_S3
Mcbar-1322	Mcbar-1322_S8
Mcbar-1336	Mcbar-1336_S13
Mcbar-1351	Mcbar-1351_S18
Mcbar-1356	Mcbar-1356_S23
Mcbar-1399	Mcbar-1399_S28
Mcbar-1425-2	Mcbar-1425-2x_S6
Mcbar-1425-3	Mcbar-1425-3_S12
Mcbar-1463-2	Mcbar-1463-2x_S9
Mcbar-1463-4	Mc-1463_S17
Mcbar-1467-3	Mcbar-1467-3_S8
Mcbar-1467-4	Mc-1467_S14
Mcbar-1510-2	Mcbar-1510-2x_S12
Mcbar-1510-3	Mcbar-1510-3_S11
Mcbar-1510-4	Mc-1510_S2
Mcbar-1521	Mcbar-1521-2x_S15
Mcbar-1529-3	Mcbar-1529-3_S14
Mcbar-1538	Mcbar-1538-2x_S17
Mcbar-1541	Mcbar-1541x_S20
Mcbar-1586	Mcbar-1586x_S23
Mcbar-1623	Mcbar-1623_S16
Mcbar-1632	Mcbar-1632_S18
Mcbar-1632-4	Mc-1632-4_S21
Mcbar-1634	Mcbar-1634_S20
Mcbar-1640	Mcbar-1640_S2
Mcbar-1660	Mcbar-1660_S5
Mcbar-1677	Mcbar-1677_S8
Mcbar-1701	Mcbar-1701_S11
Mcbar-1710	Mcbar-1710_S14
McBar-1710-3	McBar-1710-3_S17
Mcbar-1713	Mcbar-1713_S17
Mcbar-1739	Mcbar-1739_S19
Mcbar-1743	Mcbar-1743_S21
Mcbar-1752	Mcbar-1752_S3
Mcbar-1762	Mcbar-1762_S6
Mcbar-1795	Mcbar1795_S8
Mcbar-1807	Mcbar1807_S9
Mcbar-1819	Mcbar1819_S14
Mcbar-1820	Mcbar1820_S10
McBar-1820-3	McBar-1820-3_S20
Mcbar-1859	Mcbar1859_S11
Mcbar-1862	Mcbar1862_S12
Mcbar-1884	Mcbar1884_S13
Mcbar-1918	Mcbar1918_S15
Mcbar-1959	Mcbar1959_S17
Mcbar-1978	Mcbar1978_S18
Mcbar-2008	Mcbar2008_S19
McBar-2009	McBar-2009_S11
Mcbar-2011	Mcbar2011_S20
Mcbar-2015	Mcbar2015_S21
McBar-2024	McBar-2024_S22
McBar-2025	McBar-2025_S2
McBar-2035-3	McBar-2035-3_S23
Mcbar-2035-4	Mcbar-NGS-2035_S11
McBar-2036	McBar-2036_S5
McBar-2037	McBar-2037_S14
McBar-2045	McBar-2045_S8
McBar-2072	McBar-2072_S17
McBar-2089	McBar-2089_S20
McBar-2113	McBar-2113_S23
McBar-2131	McBar-2131_S3
Mcbar-2171	Mcbar-2171_S4
Mcbar-2172	Mcbar-2172_S7
Mcbar-2215	Mcbar-NGS-2215_S5
Mcbar-2216	Mcbar-2216_S2
Mcbar-2216-4	McBar-2216_S19
McBar-2266	McBar-2266_S11
Mcbar-2277	Mcbar-NGS-2277_S8
Mcbar-2293	Mcbar-NGS-2293_S11
Mcbar-2296	Mcbar-NGS-2296_S14
Mcbar-2296-4	Mcbar-2296-4_S14
Mcbar-2332	Mcbar-NGS-2332_S17
Mcbar-2339	Mcbar-NGS-2339_S20
Mcbar-2341	Mcbar-NGS-2341_S23
Mcbar-2342	Mcbar-NGS-2342_S3
Mcbar-2359	Mcbar-NGS-2359_S6
Mcbar-2366	Mcbar-NGS-2366_S12
Mcbar-2371	Mcbar-NGS-2371_S15
Mcbar-2388	Mcbar-NGS-2388_S18
Mcbar-2401	Mcbar-NGS-2401_S21
McBar-2415	McBar-2415_S8
McBar-2419	McBar-2419_S14
Mcbar-2468	McBar-2468_S22
Mcbar-2473	Mc-2473_S3
Mcbar-2475	Mc-2475_S6
Mcbar-2490	Mc-2490_S9
Mcbar-2508	Mc-2508_S12
Mcbar-2514	Mc-2514_S15
Mcbar-2549	Mc-2549_S18
Mcbar-2579	McBar-2579_S2
Mcbar-2607	McBar-2607_S5
Mcbar-2610	McBar-2610_S8
Mcbar-2619	Mcbar-2619x_S7
Mcbar-2626	Mcbar-NGS-2626_S16
Mcbar-2635	McBar-2635_S11
Mcbar-2647	McBar-2647_S14
Mcbar-2651	McBar-2651_S17
Mcbar-2685	Mcbar-NGS-2685_S19
Mcbar-2699	Mcbar-NGS-2699_S22
Mcbar-2723	Mcbar-NGS-2723_S10
Mcbar-2724	Mcbar-NGS-2724_S13
Mcbar-2725	Mcbar-NGS-2725_S2
Mcbar-2739	Mcbar-NGS-2739_S5
Mcbar-2752	Mcbar-NGS-2752_S11
Mcbar-2767	Mcbar-NGS-2767_S8
Mcbar-2778	Mcbar-NGS-2778_S14
Mcbar-2790	Mcbar-NGS-2790_S17
Mcbar-2806	Mcbar-NGS-2806_S4
Mcbar-2810	Mc-2810_S4
Mcbar-2813	Mcbar-NGS-2813_S19
Mcbar-2817	Mcbar-NGS-2817_S22
Mcbar-2834	Mcbar-NGS-2834_S2
Mcbar-2835	Mcbar-2835x_S11
Mcbar-2894	Mc-2894_S12
Mcbar-2928	Mcbar-2928x_S6
Mcbar-2966	Mc-2966_S13
Mcbar-2980	Mc-2980_S6
Mcbar-3006	Mcbar-3006xx_S14
Mcbar-3055	Mc-3055_S11
Mcbar-3056	Mc-3056_S9
18-174	Mcbar-18-174x_S4
18-14	MCNEIS-18-14_S23
18-26	MCNEIS-18-26_S3
18-62	MCNEIS-18-62_S6
18-87	MCNEIS-18-87_S23
18-114	MCNEIS-18-114_S16
18-118	MCNEIS-18-118_S19
18-122	MCNEIS-18-122_S22
18-126	MCNEIS-18-126_S2
18-151	MCNEIS-18-151_S22
18-161	MCNEIS-18-161_S6
18-164	MCNEIS-18-1641_S7
18-166	MCNEIS-18-166_S8
18-185	MCNEIS-18-185_S14
18-192	MCNEIS-18-192_S15
18-208	MCNEIS-18-208_S16
18-210	MCNEIS-18-210_S17
18-215	MCNEIS-18-215_S21
18-256	MCNEIS-18-256_S16
18-259	MCNEIS-18-259_S17
18-271	MCNEIS-18-271_S9
18-293	MCNEIS-18-293_S11
18-296	MCNEIS-18-296_S11
18-299	MCNEIS-18-299_S14
18-352	NEIS-18-352_S8
18-375	NEIS-18-375_S12
18-378	NEIS-18-378_S14
18-379	NEIS-18-379_S10
18-391	NEIS-18-391_S16
18-400	NEIS-18-400_S17
18-402	NEIS-18-402_S18
18-411	MC-18-411_S8
18-469	MCNEIS-18-469_S12
18-490	MCNEIS-18-490_S13
18-520	MCMCNEIS-18-520_S23
18-541	MCNEIS-18-541_S6
18-554	MCNEIS-18-554_S26
18-563	MCNEIS-18-563_S29
18-567	MCNEIS-18-567_S18
18-573	MCNEIS-18-573_S21
18-607	MCNEIS-18-607_S11
18-616	MCNEIS-18-616_S13
18-623	MCNEIS-18-623_S3
18-637	MCNEIS-18-637_S6
18-641	MCNEIS-18-641_S9
18-671	MCNEIS-18-671_S2
18-734	NEIS-18-734_S12
18-742	NEIS-18-742_S18
18-752	NEIS-18-752_S21
19-3	NEIS-19-3_S15
19-4	NEIS-19-4_S24
19-18	NEIS-19-18_S32
19-29	NEIS-19-29_S37
19-30	NEIS-19-30_S2
19-50	NEIS-19-50_S8
19-59	NEIS-19-59_S5
19-84	NEIS-19-84_S2
19-87	MCNEIS-19-87-2_S19
19-160	MCNEIS-19-160_S13
19-187	MCNEIS-19-187_S18
19-192	MCNEIS-19-192-2_S17
19-212	MCNEIS-19-212_S21
19-216	MCNEIS-19-216_S22
19-219	MCNEIS-19-219_S23
19-228	NEIS-19-228_S25
19-241	NEIS-19-241_S24
19-307	MCNEIS-19-307_S10
19-328	NEIS-19-328_S1
19-361	NEIS-19-361_S3
19-397	NEIS-19-397_S7
19-419	NEIS-19-419_S1
19-424	NEIS-19-424_S16
19-462	NEIS-19-462_S22
19-463	MCNEIS-19-463_S20
19-508	NEIS-19-508_S22
19-509	NEIS-19-509_S2
19-511	NEIS-19-511_S5
19-548	MCNEIS-19-548_S13
19-559	NEIS-19-559_S5
19-611	NEIS-19-611_S9
19-616	NEIS-19-616_S10
19-656	NEIS-19-656_S11
19-708-1	MCNEIS-19-708-1_S14
19-719	MCNEIS-19-719_S11
19-726	MCNEIS-19-726_S2
19-727	MCNEIS-19-727_S5
19-732	MCNEIS-19-732_S22
19-756	MCNEIS-19-756_S16
19-806	MCNEIS-19-806_S22
19-853	NEIS-19-853_S14
19-909	NEIS-19-909_S24
19-926	NEIS-19-926_S21
19-963	NEIS-19-963_S7
19-977	NEIS-19-977_S9
19-978	NEIS-19-978_S11
19-985	NEIS-19-985_S13
19-999	NEIS-19-999_S13
19-1057	MCNEIS-19-1057_S7
19-1110	NEIS-19-1110_S11
19-1111	NEIS-19-1111_S13
19-1136	McNEIS-19-1136_S7
19-1173	Neis-19-1173_S16
19-1182	NEIS-19-1182_S7
19-1196	NEIS-19-1196_S8
